design,workload,B,ctx,step_ms,tps_user,aggregate_tps,dram_util,mat_util,noc_util,fits,method
pulp_default_S,qwen3_30b_a3b,1,8192,3.154,317.0,317.0,0.201,0.648,,True,analytical
pulp_default_S,qwen3_30b_a3b,1,32768,8.4276,119.0,119.0,0.11,0.618,,True,analytical
pulp_default_S,qwen3_30b_a3b,1,131072,29.522,34.0,34.0,0.071,0.605,,True,analytical
pulp_default_S,qwen3_30b_a3b,2,8192,6.0672,165.0,330.0,0.157,0.674,,True,analytical
pulp_default_S,qwen3_30b_a3b,2,32768,16.6144,60.0,120.0,0.093,0.627,,True,analytical
pulp_default_S,qwen3_30b_a3b,2,131072,58.8032,17.0,34.0,0.066,0.608,,True,analytical
pulp_default_S,qwen3_30b_a3b,4,8192,11.7673,85.0,340.0,0.132,0.695,,True,analytical
pulp_default_S,qwen3_30b_a3b,4,32768,32.8617,30.0,122.0,0.083,0.634,,True,analytical
pulp_default_S,qwen3_30b_a3b,4,131072,117.2393,9.0,34.0,0.064,0.61,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,1,8192,1.1093,901.0,901.0,0.571,0.173,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,1,32768,1.6037,624.0,624.0,0.579,0.305,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,1,131072,3.5813,279.0,279.0,0.589,0.468,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,2,8192,1.6318,613.0,1226.0,0.584,0.235,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,2,32768,2.6206,382.0,763.0,0.588,0.373,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,2,131072,6.5758,152.0,304.0,0.593,0.509,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,4,8192,2.6109,383.0,1532.0,0.593,0.294,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,4,32768,4.5885,218.0,872.0,0.595,0.426,,True,analytical
pulp_scaled_S,qwen3_30b_a3b,4,131072,12.4989,80.0,320.0,0.596,0.536,,True,analytical
tensix_S,qwen3_30b_a3b,1,8192,0.8668,1154.0,1154.0,0.731,0.055,,True,analytical
tensix_S,qwen3_30b_a3b,1,32768,1.2349,810.0,810.0,0.752,0.099,,True,analytical
tensix_S,qwen3_30b_a3b,1,131072,2.7077,369.0,369.0,0.779,0.155,,True,analytical
tensix_S,qwen3_30b_a3b,2,8192,1.2646,791.0,1582.0,0.753,0.076,,True,analytical
tensix_S,qwen3_30b_a3b,2,32768,2.0009,500.0,1000.0,0.771,0.122,,True,analytical
tensix_S,qwen3_30b_a3b,2,131072,4.9464,202.0,404.0,0.789,0.169,,True,analytical
tensix_S,qwen3_30b_a3b,4,8192,2.0097,498.0,1990.0,0.771,0.095,,True,analytical
tensix_S,qwen3_30b_a3b,4,32768,3.4824,287.0,1149.0,0.784,0.14,,True,analytical
tensix_S,qwen3_30b_a3b,4,131072,9.3733,107.0,427.0,0.795,0.179,,True,analytical
pulp_default_M,qwen3_30b_a3b,1,8192,1.6149,619.0,619.0,0.196,0.633,,True,analytical
pulp_default_M,qwen3_30b_a3b,1,32768,4.2517,235.0,235.0,0.109,0.613,,True,analytical
pulp_default_M,qwen3_30b_a3b,1,131072,14.7989,68.0,68.0,0.071,0.604,,True,analytical
pulp_default_M,qwen3_30b_a3b,2,8192,3.0715,326.0,651.0,0.155,0.666,,True,analytical
pulp_default_M,qwen3_30b_a3b,2,32768,8.3451,120.0,240.0,0.092,0.624,,True,analytical
