model,model_mode,batch,context_tokens,memory_capacity_GB,requested_bw_TBps,achieved_bw_TBps,dram_utilization,peak_compute_TFLOPS,achieved_compute_TFLOPS,compute_utilization,sram_MB,org,decode_step_ms,TPS_per_user,aggregate_TPS,weight_bytes_per_token,kv_bytes_per_token,index_bytes_per_token,total_bytes_per_token,flops_per_token,arithmetic_intensity,logic_power_W,dram_power_W,interface_power_W,total_power_W,energy_per_token_J,tokens_per_J,useful_TFLOPS_per_W,max_temperature_C,sustainable_frequency_MHz,hardware_cost_USD,fleet_utilization,cost_per_1m_output_tokens,meets_1000_tps,meets_1500_tps,meets_2000_tps,fits_capacity,feasible_capacity_mapping,simulation_method,assumption_level,reuse_model
deepseek_v4_flash,exact,1,32768,256,40,23.992,0.5998,250.0,68.76,0.275,32,hybrid,0.4683,2135.6,2135.6,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,73.7,230.3,48.0,394.3,0.184635,5.42,0.1744,,,25000.0,0.6,0.1957,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,40,24.525,0.6131,500.0,70.29,0.1406,32,hybrid,0.4581,2183.1,2183.1,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,75.4,235.4,49.1,403.1,0.184635,5.42,0.1744,,,25000.0,0.6,0.1917,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,40,24.708,0.6177,750.0,70.81,0.0944,32,hybrid,0.4547,2199.4,2199.4,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,76.0,237.2,49.4,406.1,0.184635,5.42,0.1744,,,25000.0,0.6,0.1903,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,40,24.801,0.62,1000.0,71.08,0.0711,32,hybrid,0.453,2207.6,2207.6,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,76.2,238.1,49.6,407.6,0.184635,5.42,0.1744,,,25000.0,0.6,0.1896,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,40,24.894,0.6224,1500.0,71.35,0.0476,32,hybrid,0.4513,2215.9,2215.9,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,76.5,239.0,49.8,409.1,0.184635,5.42,0.1744,,,25000.0,0.6,0.189,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,40,24.941,0.6235,2000.0,71.48,0.0357,32,hybrid,0.4504,2220.1,2220.1,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,76.7,239.4,49.9,409.9,0.184635,5.42,0.1744,,,25000.0,0.6,0.1886,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,40,24.988,0.6247,3000.0,71.62,0.0239,32,hybrid,0.4496,2224.3,2224.3,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,76.8,239.9,50.0,410.7,0.184635,5.42,0.1744,,,25000.0,0.6,0.1883,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,40,25.012,0.6253,4000.0,71.68,0.0179,32,hybrid,0.4492,2226.4,2226.4,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,76.9,240.1,50.0,411.1,0.184635,5.42,0.1744,,,25000.0,0.6,0.1881,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,50,24.59,0.4918,250.0,70.47,0.2819,16,hybrid,0.4569,2188.8,2188.8,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,75.6,236.1,49.2,404.1,0.184635,5.42,0.1744,,,25000.0,0.6,0.1912,True,True,True,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,50,28.207,0.5641,250.0,80.84,0.3234,32,hybrid,0.3983,2510.8,2510.8,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,86.7,270.8,56.4,463.6,0.184635,5.42,0.1744,,,25000.0,0.6,0.1678,True,True,True,True,True,analytical,assumed_defaults,statistical
