model,model_mode,batch,context_tokens,memory_capacity_GB,requested_bw_TBps,achieved_bw_TBps,dram_utilization,peak_compute_TFLOPS,achieved_compute_TFLOPS,compute_utilization,sram_MB,org,decode_step_ms,TPS_per_user,aggregate_TPS,weight_bytes_per_token,kv_bytes_per_token,index_bytes_per_token,total_bytes_per_token,flops_per_token,arithmetic_intensity,logic_power_W,dram_power_W,interface_power_W,total_power_W,energy_per_token_J,tokens_per_J,useful_TFLOPS_per_W,max_temperature_C,sustainable_frequency_MHz,hardware_cost_USD,fleet_utilization,cost_per_1m_output_tokens,meets_1000_tps,meets_1500_tps,meets_2000_tps,fits_capacity,feasible_capacity_mapping,simulation_method,assumption_level,reuse_model
deepseek_v4_flash,exact,1,32768,256,12,6.677,0.5564,250.0,19.14,0.0765,8,hybrid,1.6825,594.4,594.4,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,20.5,64.1,13.4,109.7,0.184635,5.42,0.1744,,,25000.0,0.6,0.6811,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.276,0.6897,250.0,23.72,0.0949,16,hybrid,1.3574,736.7,736.7,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,25.4,79.5,16.6,136.0,0.184635,5.42,0.1744,,,25000.0,0.6,0.5512,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.745,0.7288,250.0,25.06,0.1003,32,hybrid,1.2847,778.4,778.4,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,26.9,84.0,17.5,143.7,0.184635,5.42,0.1744,,,25000.0,0.6,0.5221,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,6.718,0.5598,500.0,19.25,0.0385,8,hybrid,1.6723,598.0,598.0,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,20.7,64.5,13.4,110.4,0.184635,5.42,0.1744,,,25000.0,0.6,0.6771,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.339,0.6949,500.0,23.9,0.0478,16,hybrid,1.3472,742.3,742.3,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,25.6,80.1,16.7,137.1,0.184635,5.42,0.1744,,,25000.0,0.6,0.5471,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.815,0.7346,500.0,25.26,0.0505,32,hybrid,1.2745,784.6,784.6,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,27.1,84.6,17.6,144.9,0.184635,5.42,0.1744,,,25000.0,0.6,0.518,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,6.732,0.561,750.0,19.29,0.0257,8,hybrid,1.6689,599.2,599.2,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,20.7,64.6,13.5,110.6,0.184635,5.42,0.1744,,,25000.0,0.6,0.6757,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.36,0.6967,750.0,23.96,0.0319,16,hybrid,1.3438,744.2,744.2,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,25.7,80.3,16.7,137.4,0.184635,5.42,0.1744,,,25000.0,0.6,0.5457,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.838,0.7365,750.0,25.33,0.0338,32,hybrid,1.2711,786.7,786.7,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,27.2,84.8,17.7,145.3,0.184635,5.42,0.1744,,,25000.0,0.6,0.5167,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,6.738,0.5615,1000.0,19.31,0.0193,8,hybrid,1.6673,599.8,599.8,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,20.7,64.7,13.5,110.7,0.184635,5.42,0.1744,,,25000.0,0.6,0.675,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.371,0.6976,1000.0,23.99,0.024,16,hybrid,1.3421,745.1,745.1,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,25.7,80.4,16.7,137.6,0.184635,5.42,0.1744,,,25000.0,0.6,0.5451,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.85,0.7375,1000.0,25.36,0.0254,32,hybrid,1.2694,787.8,787.8,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,27.2,85.0,17.7,145.5,0.184635,5.42,0.1744,,,25000.0,0.6,0.516,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,6.743,0.5619,1500.0,19.33,0.0129,8,hybrid,1.6661,600.2,600.2,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,20.7,64.7,13.5,110.8,0.184635,5.42,0.1744,,,25000.0,0.6,0.6746,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.38,0.6983,1500.0,24.02,0.016,16,hybrid,1.3406,745.9,745.9,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,25.8,80.4,16.8,137.7,0.184635,5.42,0.1744,,,25000.0,0.6,0.5445,False,False,False,True,True,analytical,assumed_defaults,statistical
deepseek_v4_flash,exact,1,32768,256,12,8.861,0.7384,1500.0,25.4,0.0169,32,hybrid,1.2678,788.7,788.7,11234200975.0,172224.0,0.0,11234373199.0,32197332976.0,2.866,27.2,85.1,17.7,145.6,0.184635,5.42,0.1744,,,25000.0,0.6,0.5154,False,False,False,True,True,analytical,assumed_defaults,statistical
