case,org,batch,tps_user,tokens_per_J,compute_util,area_mm2_compute,watts
v4_128k,atlas_matrix,1,2359.4,5.32,0.101,855.0,444.0
v4_128k,atlas_matrix,4,1237.6,10.62,0.212,855.0,466.0
v4_128k,systolic_fixed,1,2397.7,5.39,0.102,470.0,445.0
v4_128k,systolic_fixed,4,1280.6,10.9,0.219,470.0,470.0
v4_128k,reconfig_systolic,1,2465.3,5.36,0.105,598.0,460.0
v4_128k,reconfig_systolic,4,1360.1,10.79,0.233,598.0,504.0
v4_128k,gemv_lanes,1,2529.7,5.32,0.108,983.0,476.0
v4_128k,gemv_lanes,4,1441.0,10.62,0.246,983.0,543.0
v4_128k,hybrid,1,2562.4,5.33,0.11,812.0,481.0
v4_128k,hybrid,4,1484.2,10.68,0.254,812.0,556.0
v4_1m,atlas_matrix,1,1388.3,4.61,0.196,855.0,301.0
v4_1m,atlas_matrix,4,501.5,8.13,0.283,855.0,247.0
v4_1m,systolic_fixed,1,1520.4,4.79,0.215,470.0,318.0
v4_1m,systolic_fixed,4,573.5,8.69,0.324,470.0,264.0
v4_1m,reconfig_systolic,1,1747.0,4.71,0.246,598.0,371.0
v4_1m,reconfig_systolic,4,713.1,8.46,0.402,598.0,337.0
v4_1m,gemv_lanes,1,2006.6,4.61,0.283,983.0,435.0
v4_1m,gemv_lanes,4,904.0,8.13,0.51,983.0,445.0
v4_1m,hybrid,1,2183.6,4.64,0.308,812.0,470.0
v4_1m,hybrid,4,1058.7,8.23,0.597,812.0,514.0
m3_128k,atlas_matrix,1,2291.3,2.3,0.076,1709.0,995.0
m3_128k,atlas_matrix,4,1071.5,3.7,0.143,1709.0,1157.0
m3_128k,systolic_fixed,1,2266.3,2.32,0.075,940.0,975.0
m3_128k,systolic_fixed,4,1049.9,3.76,0.14,940.0,1118.0
m3_128k,reconfig_systolic,1,2284.5,2.32,0.076,1196.0,987.0
m3_128k,reconfig_systolic,4,1065.6,3.73,0.142,1196.0,1141.0
m3_128k,gemv_lanes,1,2310.2,2.3,0.077,1965.0,1003.0
m3_128k,gemv_lanes,4,1088.1,3.7,0.145,1965.0,1175.0
m3_128k,hybrid,1,2310.2,2.31,0.077,1624.0,1001.0
m3_128k,hybrid,4,1088.1,3.71,0.145,1624.0,1172.0
m3_1m,atlas_matrix,1,1950.3,2.0,0.154,1709.0,976.0
m3_1m,atlas_matrix,4,807.4,2.97,0.255,1709.0,1086.0
m3_1m,systolic_fixed,1,1841.3,2.03,0.145,940.0,905.0
m3_1m,systolic_fixed,4,735.4,3.06,0.232,940.0,963.0
m3_1m,reconfig_systolic,1,1919.8,2.02,0.151,1196.0,950.0
m3_1m,reconfig_systolic,4,786.7,3.02,0.248,1196.0,1041.0
m3_1m,gemv_lanes,1,2039.9,2.0,0.161,1965.0,1021.0
m3_1m,gemv_lanes,4,870.7,2.97,0.275,1965.0,1171.0
m3_1m,hybrid,1,2039.9,2.01,0.161,1624.0,1017.0
m3_1m,hybrid,4,870.7,2.99,0.275,1624.0,1165.0
