model,context,interconnect_GBps,link_latency_us,n_output,kv_GB,TTFT_s,handoff_s,handoff_frac
v4_flash,32768,64,10.0,100,0.12,0.598,0.00187,0.00293
v4_flash,32768,64,10.0,800,0.12,0.598,0.00187,0.00204
v4_flash,32768,64,5.0,100,0.12,0.598,0.00186,0.00292
v4_flash,32768,64,5.0,800,0.12,0.598,0.00186,0.00203
v4_flash,32768,64,1.0,100,0.12,0.598,0.00186,0.00292
v4_flash,32768,64,1.0,800,0.12,0.598,0.00186,0.00203
v4_flash,32768,64,0.5,100,0.12,0.598,0.00186,0.00291
v4_flash,32768,64,0.5,800,0.12,0.598,0.00186,0.00203
v4_flash,32768,64,0.09999999999999999,100,0.12,0.598,0.00186,0.00291
v4_flash,32768,64,0.09999999999999999,800,0.12,0.598,0.00186,0.00202
v4_flash,32768,128,10.0,100,0.12,0.5971,0.00094,0.00147
v4_flash,32768,128,10.0,800,0.12,0.5971,0.00094,0.00102
v4_flash,32768,128,5.0,100,0.12,0.5971,0.00093,0.00147
v4_flash,32768,128,5.0,800,0.12,0.5971,0.00093,0.00102
v4_flash,32768,128,1.0,100,0.12,0.5971,0.00093,0.00146
v4_flash,32768,128,1.0,800,0.12,0.5971,0.00093,0.00101
v4_flash,32768,128,0.5,100,0.12,0.5971,0.00093,0.00146
v4_flash,32768,128,0.5,800,0.12,0.5971,0.00093,0.00101
v4_flash,32768,128,0.09999999999999999,100,0.12,0.5971,0.00093,0.00146
v4_flash,32768,128,0.09999999999999999,800,0.12,0.5971,0.00093,0.00101
v4_flash,32768,256,10.0,100,0.12,0.5967,0.00047,0.00075
v4_flash,32768,256,10.0,800,0.12,0.5967,0.00047,0.00052
v4_flash,32768,256,5.0,100,0.12,0.5967,0.00047,0.00074
v4_flash,32768,256,5.0,800,0.12,0.5967,0.00047,0.00051
v4_flash,32768,256,1.0,100,0.12,0.5966,0.00047,0.00073
v4_flash,32768,256,1.0,800,0.12,0.5966,0.00047,0.00051
v4_flash,32768,256,0.5,100,0.12,0.5966,0.00046,0.00073
v4_flash,32768,256,0.5,800,0.12,0.5966,0.00046,0.00051
v4_flash,32768,256,0.09999999999999999,100,0.12,0.5966,0.00046,0.00073
v4_flash,32768,256,0.09999999999999999,800,0.12,0.5966,0.00046,0.00051
v4_flash,32768,512,10.0,100,0.12,0.5964,0.00024,0.00038
v4_flash,32768,512,10.0,800,0.12,0.5964,0.00024,0.00026
v4_flash,32768,512,5.0,100,0.12,0.5964,0.00024,0.00037
v4_flash,32768,512,5.0,800,0.12,0.5964,0.00024,0.00026
v4_flash,32768,512,1.0,100,0.12,0.5964,0.00023,0.00037
v4_flash,32768,512,1.0,800,0.12,0.5964,0.00023,0.00025
v4_flash,32768,512,0.5,100,0.12,0.5964,0.00023,0.00037
v4_flash,32768,512,0.5,800,0.12,0.5964,0.00023,0.00025
v4_flash,32768,512,0.09999999999999999,100,0.12,0.5964,0.00023,0.00037
v4_flash,32768,512,0.09999999999999999,800,0.12,0.5964,0.00023,0.00025
v4_flash,32768,1000,10.0,100,0.12,0.5963,0.00013,0.0002
v4_flash,32768,1000,10.0,800,0.12,0.5963,0.00013,0.00014
v4_flash,32768,1000,5.0,100,0.12,0.5963,0.00012,0.00019
v4_flash,32768,1000,5.0,800,0.12,0.5963,0.00012,0.00014
v4_flash,32768,1000,1.0,100,0.12,0.5963,0.00012,0.00019
v4_flash,32768,1000,1.0,800,0.12,0.5963,0.00012,0.00013
v4_flash,32768,1000,0.5,100,0.12,0.5963,0.00012,0.00019
v4_flash,32768,1000,0.5,800,0.12,0.5963,0.00012,0.00013
v4_flash,32768,1000,0.09999999999999999,100,0.12,0.5963,0.00012,0.00019
v4_flash,32768,1000,0.09999999999999999,800,0.12,0.5963,0.00012,0.00013
v4_flash,131072,64,10.0,100,0.46,2.3907,0.0072,0.00296
v4_flash,131072,64,10.0,800,0.46,2.3907,0.0072,0.00266
v4_flash,131072,64,5.0,100,0.46,2.3907,0.00719,0.00296
v4_flash,131072,64,5.0,800,0.46,2.3907,0.00719,0.00265
v4_flash,131072,64,1.0,100,0.46,2.3907,0.00719,0.00296
v4_flash,131072,64,1.0,800,0.46,2.3907,0.00719,0.00265
v4_flash,131072,64,0.5,100,0.46,2.3907,0.00719,0.00296
v4_flash,131072,64,0.5,800,0.46,2.3907,0.00719,0.00265
v4_flash,131072,64,0.09999999999999999,100,0.46,2.3907,0.00719,0.00296
v4_flash,131072,64,0.09999999999999999,800,0.46,2.3907,0.00719,0.00265
v4_flash,131072,128,10.0,100,0.46,2.3871,0.0036,0.00149
v4_flash,131072,128,10.0,800,0.46,2.3871,0.0036,0.00133
v4_flash,131072,128,5.0,100,0.46,2.3871,0.0036,0.00148
v4_flash,131072,128,5.0,800,0.46,2.3871,0.0036,0.00133
v4_flash,131072,128,1.0,100,0.46,2.3871,0.0036,0.00148
v4_flash,131072,128,1.0,800,0.46,2.3871,0.0036,0.00133
v4_flash,131072,128,0.5,100,0.46,2.3871,0.0036,0.00148
v4_flash,131072,128,0.5,800,0.46,2.3871,0.0036,0.00133
v4_flash,131072,128,0.09999999999999999,100,0.46,2.3871,0.00359,0.00148
v4_flash,131072,128,0.09999999999999999,800,0.46,2.3871,0.00359,0.00133
v4_flash,131072,256,10.0,100,0.46,2.3853,0.00181,0.00075
v4_flash,131072,256,10.0,800,0.46,2.3853,0.00181,0.00067
v4_flash,131072,256,5.0,100,0.46,2.3853,0.0018,0.00074
v4_flash,131072,256,5.0,800,0.46,2.3853,0.0018,0.00067
v4_flash,131072,256,1.0,100,0.46,2.3853,0.0018,0.00074
v4_flash,131072,256,1.0,800,0.46,2.3853,0.0018,0.00066
v4_flash,131072,256,0.5,100,0.46,2.3853,0.0018,0.00074
v4_flash,131072,256,0.5,800,0.46,2.3853,0.0018,0.00066
v4_flash,131072,256,0.09999999999999999,100,0.46,2.3853,0.0018,0.00074
v4_flash,131072,256,0.09999999999999999,800,0.46,2.3853,0.0018,0.00066
v4_flash,131072,512,10.0,100,0.46,2.3844,0.00091,0.00037
v4_flash,131072,512,10.0,800,0.46,2.3844,0.00091,0.00034
v4_flash,131072,512,5.0,100,0.46,2.3844,0.0009,0.00037
v4_flash,131072,512,5.0,800,0.46,2.3844,0.0009,0.00033
v4_flash,131072,512,1.0,100,0.46,2.3844,0.0009,0.00037
v4_flash,131072,512,1.0,800,0.46,2.3844,0.0009,0.00033
v4_flash,131072,512,0.5,100,0.46,2.3844,0.0009,0.00037
v4_flash,131072,512,0.5,800,0.46,2.3844,0.0009,0.00033
v4_flash,131072,512,0.09999999999999999,100,0.46,2.3844,0.0009,0.00037
v4_flash,131072,512,0.09999999999999999,800,0.46,2.3844,0.0009,0.00033
v4_flash,131072,1000,10.0,100,0.46,2.384,0.00047,0.00019
v4_flash,131072,1000,10.0,800,0.46,2.384,0.00047,0.00017
v4_flash,131072,1000,5.0,100,0.46,2.384,0.00047,0.00019
v4_flash,131072,1000,5.0,800,0.46,2.384,0.00047,0.00017
v4_flash,131072,1000,1.0,100,0.46,2.384,0.00046,0.00019
v4_flash,131072,1000,1.0,800,0.46,2.384,0.00046,0.00017
v4_flash,131072,1000,0.5,100,0.46,2.384,0.00046,0.00019
v4_flash,131072,1000,0.5,800,0.46,2.384,0.00046,0.00017
v4_flash,131072,1000,0.09999999999999999,100,0.46,2.384,0.00046,0.00019
v4_flash,131072,1000,0.09999999999999999,800,0.46,2.384,0.00046,0.00017
v4_flash,1048576,64,10.0,100,3.64,19.1224,0.05696,0.00297
v4_flash,1048576,64,10.0,800,3.64,19.1224,0.05696,0.00293
v4_flash,1048576,64,5.0,100,3.64,19.1224,0.05695,0.00297
v4_flash,1048576,64,5.0,800,3.64,19.1224,0.05695,0.00293
v4_flash,1048576,64,1.0,100,3.64,19.1224,0.05695,0.00297
v4_flash,1048576,64,1.0,800,3.64,19.1224,0.05695,0.00293
v4_flash,1048576,64,0.5,100,3.64,19.1224,0.05695,0.00297
v4_flash,1048576,64,0.5,800,3.64,19.1224,0.05695,0.00293
v4_flash,1048576,64,0.09999999999999999,100,3.64,19.1224,0.05695,0.00297
v4_flash,1048576,64,0.09999999999999999,800,3.64,19.1224,0.05695,0.00293
v4_flash,1048576,128,10.0,100,3.64,19.0939,0.02848,0.00149
v4_flash,1048576,128,10.0,800,3.64,19.0939,0.02848,0.00147
v4_flash,1048576,128,5.0,100,3.64,19.0939,0.02848,0.00149
v4_flash,1048576,128,5.0,800,3.64,19.0939,0.02848,0.00147
v4_flash,1048576,128,1.0,100,3.64,19.0939,0.02848,0.00149
v4_flash,1048576,128,1.0,800,3.64,19.0939,0.02848,0.00147
v4_flash,1048576,128,0.5,100,3.64,19.0939,0.02848,0.00149
v4_flash,1048576,128,0.5,800,3.64,19.0939,0.02848,0.00147
v4_flash,1048576,128,0.09999999999999999,100,3.64,19.0939,0.02847,0.00149
v4_flash,1048576,128,0.09999999999999999,800,3.64,19.0939,0.02847,0.00147
v4_flash,1048576,256,10.0,100,3.64,19.0797,0.01425,0.00075
v4_flash,1048576,256,10.0,800,3.64,19.0797,0.01425,0.00073
v4_flash,1048576,256,5.0,100,3.64,19.0797,0.01424,0.00074
v4_flash,1048576,256,5.0,800,3.64,19.0797,0.01424,0.00073
v4_flash,1048576,256,1.0,100,3.64,19.0797,0.01424,0.00074
v4_flash,1048576,256,1.0,800,3.64,19.0797,0.01424,0.00073
v4_flash,1048576,256,0.5,100,3.64,19.0797,0.01424,0.00074
v4_flash,1048576,256,0.5,800,3.64,19.0797,0.01424,0.00073
v4_flash,1048576,256,0.09999999999999999,100,3.64,19.0797,0.01424,0.00074
v4_flash,1048576,256,0.09999999999999999,800,3.64,19.0797,0.01424,0.00073
v4_flash,1048576,512,10.0,100,3.64,19.0725,0.00713,0.00037
v4_flash,1048576,512,10.0,800,3.64,19.0725,0.00713,0.00037
v4_flash,1048576,512,5.0,100,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,512,5.0,800,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,512,1.0,100,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,512,1.0,800,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,512,0.5,100,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,512,0.5,800,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,512,0.09999999999999999,100,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,512,0.09999999999999999,800,3.64,19.0725,0.00712,0.00037
v4_flash,1048576,1000,10.0,100,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,10.0,800,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,5.0,100,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,5.0,800,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,1.0,100,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,1.0,800,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,0.5,100,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,0.5,800,3.64,19.0691,0.00365,0.00019
v4_flash,1048576,1000,0.09999999999999999,100,3.64,19.0691,0.00364,0.00019
v4_flash,1048576,1000,0.09999999999999999,800,3.64,19.0691,0.00364,0.00019
m3_fp8,32768,64,10.0,100,2.02,0.6281,0.03153,0.04489
m3_fp8,32768,64,10.0,800,2.02,0.6281,0.03153,0.02569
m3_fp8,32768,64,5.0,100,2.02,0.6281,0.03152,0.04488
m3_fp8,32768,64,5.0,800,2.02,0.6281,0.03152,0.02568
m3_fp8,32768,64,1.0,100,2.02,0.6281,0.03152,0.04488
m3_fp8,32768,64,1.0,800,2.02,0.6281,0.03152,0.02568
m3_fp8,32768,64,0.5,100,2.02,0.6281,0.03152,0.04488
m3_fp8,32768,64,0.5,800,2.02,0.6281,0.03152,0.02568
m3_fp8,32768,64,0.09999999999999999,100,2.02,0.628,0.03152,0.04488
m3_fp8,32768,64,0.09999999999999999,800,2.02,0.628,0.03152,0.02568
m3_fp8,32768,128,10.0,100,2.02,0.6123,0.01577,0.02297
m3_fp8,32768,128,10.0,800,2.02,0.6123,0.01577,0.01302
m3_fp8,32768,128,5.0,100,2.02,0.6123,0.01576,0.02296
m3_fp8,32768,128,5.0,800,2.02,0.6123,0.01576,0.01301
m3_fp8,32768,128,1.0,100,2.02,0.6123,0.01576,0.02296
m3_fp8,32768,128,1.0,800,2.02,0.6123,0.01576,0.01301
m3_fp8,32768,128,0.5,100,2.02,0.6123,0.01576,0.02295
m3_fp8,32768,128,0.5,800,2.02,0.6123,0.01576,0.01301
m3_fp8,32768,128,0.09999999999999999,100,2.02,0.6123,0.01576,0.02295
m3_fp8,32768,128,0.09999999999999999,800,2.02,0.6123,0.01576,0.01301
m3_fp8,32768,256,10.0,100,2.02,0.6044,0.00789,0.01162
m3_fp8,32768,256,10.0,800,2.02,0.6044,0.00789,0.00655
m3_fp8,32768,256,5.0,100,2.02,0.6044,0.00788,0.01162
m3_fp8,32768,256,5.0,800,2.02,0.6044,0.00788,0.00655
m3_fp8,32768,256,1.0,100,2.02,0.6044,0.00788,0.01161
m3_fp8,32768,256,1.0,800,2.02,0.6044,0.00788,0.00655
m3_fp8,32768,256,0.5,100,2.02,0.6044,0.00788,0.01161
m3_fp8,32768,256,0.5,800,2.02,0.6044,0.00788,0.00655
m3_fp8,32768,256,0.09999999999999999,100,2.02,0.6044,0.00788,0.01161
m3_fp8,32768,256,0.09999999999999999,800,2.02,0.6044,0.00788,0.00655
m3_fp8,32768,512,10.0,100,2.02,0.6005,0.00395,0.00585
m3_fp8,32768,512,10.0,800,2.02,0.6005,0.00395,0.00329
m3_fp8,32768,512,5.0,100,2.02,0.6005,0.00394,0.00585
m3_fp8,32768,512,5.0,800,2.02,0.6005,0.00394,0.00329
m3_fp8,32768,512,1.0,100,2.02,0.6005,0.00394,0.00584
m3_fp8,32768,512,1.0,800,2.02,0.6005,0.00394,0.00328
m3_fp8,32768,512,0.5,100,2.02,0.6005,0.00394,0.00584
m3_fp8,32768,512,0.5,800,2.02,0.6005,0.00394,0.00328
m3_fp8,32768,512,0.09999999999999999,100,2.02,0.6005,0.00394,0.00584
m3_fp8,32768,512,0.09999999999999999,800,2.02,0.6005,0.00394,0.00328
m3_fp8,32768,1000,10.0,100,2.02,0.5986,0.00203,0.00301
m3_fp8,32768,1000,10.0,800,2.02,0.5986,0.00203,0.00169
m3_fp8,32768,1000,5.0,100,2.02,0.5986,0.00202,0.00301
m3_fp8,32768,1000,5.0,800,2.02,0.5986,0.00202,0.00169
m3_fp8,32768,1000,1.0,100,2.02,0.5985,0.00202,0.003
m3_fp8,32768,1000,1.0,800,2.02,0.5985,0.00202,0.00168
m3_fp8,32768,1000,0.5,100,2.02,0.5985,0.00202,0.003
m3_fp8,32768,1000,0.5,800,2.02,0.5985,0.00202,0.00168
m3_fp8,32768,1000,0.09999999999999999,100,2.02,0.5985,0.00202,0.003
m3_fp8,32768,1000,0.09999999999999999,800,2.02,0.5985,0.00202,0.00168
m3_fp8,131072,64,10.0,100,8.06,2.5099,0.12599,0.04875
m3_fp8,131072,64,10.0,800,8.06,2.5099,0.12599,0.04052
m3_fp8,131072,64,5.0,100,8.06,2.5099,0.12598,0.04875
m3_fp8,131072,64,5.0,800,8.06,2.5099,0.12598,0.04052
m3_fp8,131072,64,1.0,100,8.06,2.5099,0.12598,0.04875
m3_fp8,131072,64,1.0,800,8.06,2.5099,0.12598,0.04052
m3_fp8,131072,64,0.5,100,8.06,2.5099,0.12598,0.04875
m3_fp8,131072,64,0.5,800,8.06,2.5099,0.12598,0.04052
m3_fp8,131072,64,0.09999999999999999,100,8.06,2.5099,0.12598,0.04875
m3_fp8,131072,64,0.09999999999999999,800,8.06,2.5099,0.12598,0.04052
m3_fp8,131072,128,10.0,100,8.06,2.4469,0.063,0.02499
m3_fp8,131072,128,10.0,800,8.06,2.4469,0.063,0.02068
m3_fp8,131072,128,5.0,100,8.06,2.4469,0.06299,0.02499
m3_fp8,131072,128,5.0,800,8.06,2.4469,0.06299,0.02068
m3_fp8,131072,128,1.0,100,8.06,2.4469,0.06299,0.02498
m3_fp8,131072,128,1.0,800,8.06,2.4469,0.06299,0.02068
m3_fp8,131072,128,0.5,100,8.06,2.4469,0.06299,0.02498
m3_fp8,131072,128,0.5,800,8.06,2.4469,0.06299,0.02068
m3_fp8,131072,128,0.09999999999999999,100,8.06,2.4469,0.06299,0.02498
m3_fp8,131072,128,0.09999999999999999,800,8.06,2.4469,0.06299,0.02068
m3_fp8,131072,256,10.0,100,8.06,2.4154,0.0315,0.01265
m3_fp8,131072,256,10.0,800,8.06,2.4154,0.0315,0.01045
m3_fp8,131072,256,5.0,100,8.06,2.4154,0.0315,0.01265
m3_fp8,131072,256,5.0,800,8.06,2.4154,0.0315,0.01045
m3_fp8,131072,256,1.0,100,8.06,2.4154,0.0315,0.01265
m3_fp8,131072,256,1.0,800,8.06,2.4154,0.0315,0.01045
m3_fp8,131072,256,0.5,100,8.06,2.4154,0.03149,0.01265
m3_fp8,131072,256,0.5,800,8.06,2.4154,0.03149,0.01045
m3_fp8,131072,256,0.09999999999999999,100,8.06,2.4154,0.03149,0.01265
m3_fp8,131072,256,0.09999999999999999,800,8.06,2.4154,0.03149,0.01045
m3_fp8,131072,512,10.0,100,8.06,2.3996,0.01576,0.00637
m3_fp8,131072,512,10.0,800,8.06,2.3996,0.01576,0.00525
m3_fp8,131072,512,5.0,100,8.06,2.3996,0.01575,0.00637
m3_fp8,131072,512,5.0,800,8.06,2.3996,0.01575,0.00525
m3_fp8,131072,512,1.0,100,8.06,2.3996,0.01575,0.00637
m3_fp8,131072,512,1.0,800,8.06,2.3996,0.01575,0.00525
m3_fp8,131072,512,0.5,100,8.06,2.3996,0.01575,0.00637
m3_fp8,131072,512,0.5,800,8.06,2.3996,0.01575,0.00525
m3_fp8,131072,512,0.09999999999999999,100,8.06,2.3996,0.01575,0.00637
m3_fp8,131072,512,0.09999999999999999,800,8.06,2.3996,0.01575,0.00525
m3_fp8,131072,1000,10.0,100,8.06,2.3919,0.00807,0.00327
m3_fp8,131072,1000,10.0,800,8.06,2.3919,0.00807,0.0027
m3_fp8,131072,1000,5.0,100,8.06,2.3919,0.00807,0.00327
m3_fp8,131072,1000,5.0,800,8.06,2.3919,0.00807,0.0027
m3_fp8,131072,1000,1.0,100,8.06,2.3919,0.00806,0.00327
m3_fp8,131072,1000,1.0,800,8.06,2.3919,0.00806,0.0027
m3_fp8,131072,1000,0.5,100,8.06,2.3919,0.00806,0.00327
m3_fp8,131072,1000,0.5,800,8.06,2.3919,0.00806,0.0027
m3_fp8,131072,1000,0.09999999999999999,100,8.06,2.3919,0.00806,0.00327
m3_fp8,131072,1000,0.09999999999999999,800,8.06,2.3919,0.00806,0.0027
m3_fp8,1048576,64,10.0,100,64.48,20.0734,1.00761,0.05001
m3_fp8,1048576,64,10.0,800,64.48,20.0734,1.00761,0.04874
m3_fp8,1048576,64,5.0,100,64.48,20.0734,1.0076,0.05001
m3_fp8,1048576,64,5.0,800,64.48,20.0734,1.0076,0.04874
m3_fp8,1048576,64,1.0,100,64.48,20.0734,1.0076,0.05001
m3_fp8,1048576,64,1.0,800,64.48,20.0734,1.0076,0.04874
m3_fp8,1048576,64,0.5,100,64.48,20.0734,1.0076,0.05001
m3_fp8,1048576,64,0.5,800,64.48,20.0734,1.0076,0.04874
m3_fp8,1048576,64,0.09999999999999999,100,64.48,20.0734,1.0076,0.05001
m3_fp8,1048576,64,0.09999999999999999,800,64.48,20.0734,1.0076,0.04874
m3_fp8,1048576,128,10.0,100,64.48,19.5696,0.50381,0.02565
m3_fp8,1048576,128,10.0,800,64.48,19.5696,0.50381,0.02498
m3_fp8,1048576,128,5.0,100,64.48,19.5696,0.5038,0.02565
m3_fp8,1048576,128,5.0,800,64.48,19.5696,0.5038,0.02498
m3_fp8,1048576,128,1.0,100,64.48,19.5696,0.5038,0.02565
