model,size,org,batch,ctx,bw_TBps,cap_GB,tps_user,compute_util,fits,polaris_ref
gpt_oss_120b,S,tensix_tinytile,1,8192,4.1,64.0,854.0,0.042,True,942
gpt_oss_120b,S,tensix_tinytile,1,131072,4.1,64.0,537.0,0.101,False,570
gpt_oss_120b,S,tensix_tinytile,4,8192,4.1,64.0,339.0,0.066,True,365
gpt_oss_120b,S,tensix_tinytile,4,131072,4.1,64.0,175.0,0.132,False,
gpt_oss_120b,S,tensix_tile32,1,8192,4.1,64.0,682.0,0.033,True,942
gpt_oss_120b,S,tensix_tile32,1,131072,4.1,64.0,464.0,0.087,False,570
gpt_oss_120b,S,tensix_tile32,4,8192,4.1,64.0,339.0,0.066,True,365
gpt_oss_120b,S,tensix_tile32,4,131072,4.1,64.0,175.0,0.132,False,
gpt_oss_120b,M,tensix_tinytile,1,8192,8.19,128.0,1613.0,0.039,True,1883
gpt_oss_120b,M,tensix_tinytile,1,131072,8.19,128.0,1036.0,0.098,True,1141
gpt_oss_120b,M,tensix_tinytile,4,8192,8.19,128.0,663.0,0.065,True,
gpt_oss_120b,M,tensix_tinytile,4,131072,8.19,128.0,346.0,0.131,True,
gpt_oss_120b,M,tensix_tile32,1,8192,8.19,128.0,1303.0,0.032,True,1883
gpt_oss_120b,M,tensix_tile32,1,131072,8.19,128.0,899.0,0.085,True,1141
gpt_oss_120b,M,tensix_tile32,4,8192,8.19,128.0,663.0,0.065,True,
gpt_oss_120b,M,tensix_tile32,4,131072,8.19,128.0,346.0,0.131,True,
gpt_oss_120b,L,tensix_tinytile,1,8192,12.29,192.0,2292.0,0.037,True,2825
gpt_oss_120b,L,tensix_tinytile,1,131072,12.29,192.0,1501.0,0.094,True,1711
gpt_oss_120b,L,tensix_tinytile,4,8192,12.29,192.0,973.0,0.063,True,
gpt_oss_120b,L,tensix_tinytile,4,131072,12.29,192.0,513.0,0.129,True,
gpt_oss_120b,L,tensix_tile32,1,8192,12.29,192.0,1871.0,0.03,True,2825
gpt_oss_120b,L,tensix_tile32,1,131072,12.29,192.0,1308.0,0.082,True,1711
gpt_oss_120b,L,tensix_tile32,4,8192,12.29,192.0,973.0,0.063,True,
gpt_oss_120b,L,tensix_tile32,4,131072,12.29,192.0,513.0,0.129,True,
qwen3_235b,S,tensix_tinytile,1,8192,4.1,64.0,205.0,0.054,False,
qwen3_235b,S,tensix_tinytile,1,131072,4.1,64.0,118.0,0.202,False,
qwen3_235b,S,tensix_tinytile,4,8192,4.1,64.0,86.0,0.09,False,
qwen3_235b,S,tensix_tinytile,4,131072,4.1,64.0,38.0,0.263,False,
qwen3_235b,S,tensix_tile32,1,8192,4.1,64.0,161.0,0.042,False,
qwen3_235b,S,tensix_tile32,1,131072,4.1,64.0,83.0,0.143,False,
qwen3_235b,S,tensix_tile32,4,8192,4.1,64.0,82.0,0.085,False,
qwen3_235b,S,tensix_tile32,4,131072,4.1,64.0,28.0,0.193,False,
qwen3_235b,M,tensix_tinytile,1,8192,8.19,128.0,401.0,0.052,False,431
qwen3_235b,M,tensix_tinytile,1,131072,8.19,128.0,233.0,0.2,False,
qwen3_235b,M,tensix_tinytile,4,8192,8.19,128.0,170.0,0.089,False,
qwen3_235b,M,tensix_tinytile,4,131072,8.19,128.0,76.0,0.262,False,
qwen3_235b,M,tensix_tile32,1,8192,8.19,128.0,318.0,0.042,False,431
qwen3_235b,M,tensix_tile32,1,131072,8.19,128.0,165.0,0.142,False,
qwen3_235b,M,tensix_tile32,4,8192,8.19,128.0,162.0,0.085,False,
qwen3_235b,M,tensix_tile32,4,131072,8.19,128.0,56.0,0.193,False,
qwen3_235b,L,tensix_tinytile,1,8192,12.29,192.0,591.0,0.051,True,646
qwen3_235b,L,tensix_tinytile,1,131072,12.29,192.0,345.0,0.197,True,
qwen3_235b,L,tensix_tinytile,4,8192,12.29,192.0,253.0,0.088,True,
qwen3_235b,L,tensix_tinytile,4,131072,12.29,192.0,114.0,0.261,True,
qwen3_235b,L,tensix_tile32,1,8192,12.29,192.0,469.0,0.041,True,646
qwen3_235b,L,tensix_tile32,1,131072,12.29,192.0,246.0,0.14,True,
qwen3_235b,L,tensix_tile32,4,8192,12.29,192.0,241.0,0.084,True,
qwen3_235b,L,tensix_tile32,4,131072,12.29,192.0,84.0,0.192,True,
