model,feasible,capacity_GB,tokens_per_J,min_compute_TFLOPS,cost_per_1m,min_sram_MB,power_W,batch,context,mode,min_bw_TBps,target_tps
deepseek_v4_flash,True,256.0,5.42,250.0,0.3783,8.0,199.6,1,32768,exact,24.0,1000
deepseek_v4_flash,True,256.0,5.42,250.0,0.2565,16.0,297.7,1,32768,exact,32.0,1500
deepseek_v4_flash,True,256.0,5.42,250.0,0.1957,32.0,394.3,1,32768,exact,40.0,2000
deepseek_v4_flash,True,256.0,8.15,250.0,0.2026,16.0,249.0,2,32768,exact,24.0,1000
deepseek_v4_flash,True,256.0,8.15,250.0,0.1244,32.0,413.1,2,32768,exact,40.0,1500
deepseek_v4_flash,True,256.0,8.15,500.0,0.1021,32.0,508.4,2,32768,exact,50.0,2000
deepseek_v4_flash,True,256.0,11.03,500.0,0.1003,32.0,377.4,4,32768,exact,32.0,1000
deepseek_v4_flash,True,256.0,11.03,500.0,0.0707,32.0,545.5,4,32768,exact,50.0,1500
deepseek_v4_flash,True,256.0,11.03,500.0,0.0538,32.0,731.0,4,32768,exact,75.0,2000
deepseek_v4_flash,True,256.0,5.33,250.0,0.39,8.0,196.7,1,131072,exact,24.0,1000
deepseek_v4_flash,True,256.0,5.33,250.0,0.2682,16.0,289.0,1,131072,exact,32.0,1500
deepseek_v4_flash,True,256.0,5.33,250.0,0.2075,32.0,377.3,1,131072,exact,40.0,2000
deepseek_v4_flash,True,256.0,7.96,250.0,0.1967,32.0,263.0,2,131072,exact,24.0,1000
deepseek_v4_flash,True,256.0,7.96,250.0,0.1361,32.0,385.4,2,131072,exact,40.0,1500
deepseek_v4_flash,True,256.0,7.96,750.0,0.1047,32.0,507.5,2,131072,exact,50.0,2000
deepseek_v4_flash,True,256.0,10.68,750.0,0.1029,32.0,379.9,4,131072,exact,32.0,1000
deepseek_v4_flash,True,256.0,10.68,1500.0,0.07,32.0,570.0,4,131072,exact,50.0,1500
deepseek_v4_flash,True,256.0,10.68,1000.0,0.0541,32.0,751.9,4,131072,exact,75.0,2000
deepseek_v4_flash,True,256.0,4.64,500.0,0.3733,16.0,237.0,1,1048576,exact,24.0,1000
deepseek_v4_flash,True,256.0,4.64,750.0,0.2667,32.0,335.4,1,1048576,exact,32.0,1500
deepseek_v4_flash,True,256.0,4.64,2000.0,0.205,32.0,441.4,1,1048576,exact,40.0,2000
deepseek_v4_flash,True,256.0,6.52,1500.0,0.1996,32.0,318.5,2,1048576,exact,24.0,1000
deepseek_v4_flash,True,256.0,6.52,1500.0,0.139,32.0,465.0,2,1048576,exact,40.0,1500
deepseek_v4_flash,True,256.0,6.52,2000.0,0.1033,32.0,637.2,2,1048576,exact,60.0,2000
deepseek_v4_flash,True,256.0,8.23,1500.0,0.1025,32.0,501.1,4,1048576,exact,40.0,1000
deepseek_v4_flash,True,256.0,8.23,3000.0,0.0699,32.0,755.1,4,1048576,exact,60.0,1500
deepseek_v4_flash,True,256.0,8.23,3000.0,0.0538,32.0,1008.3,4,1048576,exact,100.0,2000
minimax_m3,True,512.0,2.34,250.0,0.3975,32.0,451.3,1,32768,exact_fp8,40.0,1000
minimax_m3,True,512.0,2.34,500.0,0.2822,32.0,649.6,1,32768,exact_fp8,60.0,1500
minimax_m3,True,512.0,2.34,250.0,0.21,32.0,896.1,1,32768,exact_fp8,100.0,2000
minimax_m3,True,512.0,3.12,250.0,0.2091,32.0,658.7,2,32768,exact_fp8,60.0,1000
minimax_m3,True,512.0,3.12,500.0,0.1428,32.0,999.8,2,32768,exact_fp8,100.0,1500
minimax_m3,True,512.0,3.12,1500.0,0.1137,64.0,1294.7,2,32768,exact_fp8,125.0,2000
minimax_m3,True,512.0,3.81,750.0,0.1087,32.0,1086.1,4,32768,exact_fp8,100.0,1000
minimax_m3,True,512.0,3.81,1000.0,0.078,64.0,1591.2,4,32768,exact_fp8,150.0,1500
minimax_m3,False,,,,,,,4,32768,exact_fp8,,2000
minimax_m3,True,512.0,2.31,250.0,0.4174,32.0,436.1,1,131072,exact_fp8,40.0,1000
minimax_m3,True,512.0,2.31,1000.0,0.2838,32.0,657.1,1,131072,exact_fp8,60.0,1500
minimax_m3,True,512.0,2.31,500.0,0.2127,32.0,899.4,1,131072,exact_fp8,100.0,2000
minimax_m3,True,512.0,3.06,500.0,0.2118,32.0,664.8,2,131072,exact_fp8,60.0,1000
minimax_m3,True,512.0,3.06,500.0,0.1478,64.0,985.4,2,131072,exact_fp8,100.0,1500
minimax_m3,True,512.0,3.06,3000.0,0.1144,64.0,1317.3,2,131072,exact_fp8,125.0,2000
minimax_m3,True,512.0,3.71,750.0,0.1114,64.0,1087.9,4,131072,exact_fp8,100.0,1000
minimax_m3,True,512.0,3.71,2000.0,0.0784,64.0,1633.0,4,131072,exact_fp8,150.0,1500
minimax_m3,False,,,,,,,4,131072,exact_fp8,,2000
minimax_m3,True,512.0,2.01,750.0,0.3938,32.0,537.7,1,1048576,exact_fp8,50.0,1000
minimax_m3,True,512.0,2.01,1000.0,0.2893,32.0,748.8,1,1048576,exact_fp8,75.0,1500
minimax_m3,True,512.0,2.01,2000.0,0.2191,64.0,1017.1,1,1048576,exact_fp8,100.0,2000
