nre_usd,fleet_units,effective_card_cost,cost_per_1m,beats_gpu_reference
50000000,1000,62000.0,0.154,True
50000000,5000,22000.0,0.065,True
50000000,10000,17000.0,0.0539,True
50000000,25000,14000.0,0.0472,True
50000000,50000,13000.0,0.045,True
50000000,100000,12500.0,0.0439,True
100000000,1000,112000.0,0.2653,False
100000000,5000,32000.0,0.0872,True
100000000,10000,22000.0,0.065,True
100000000,25000,16000.0,0.0516,True
100000000,50000,14000.0,0.0472,True
100000000,100000,13000.0,0.045,True
200000000,1000,212000.0,0.4878,False
200000000,5000,52000.0,0.1318,True
200000000,10000,32000.0,0.0872,True
200000000,25000,20000.0,0.0605,True
200000000,50000,16000.0,0.0516,True
200000000,100000,14000.0,0.0472,True
400000000,1000,412000.0,0.9329,False
400000000,5000,92000.0,0.2208,False
400000000,10000,52000.0,0.1318,True
400000000,25000,28000.0,0.0783,True
400000000,50000,20000.0,0.0605,True
400000000,100000,16000.0,0.0516,True
