config,ctx_mix,arrival_per_s,sessions,tokens,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,p50_tps_user,p95_low_tps_user,aggregate_tps,device_busy_frac,p50_queue_ms,p99_queue_ms
v4_flagship,short,1.0,141,73802,0.383,0.487,0.581,2562.634,1919.42,2820.489,0.173,0.0,0.377
v4_flagship,short,3.0,481,289215,0.472,0.674,0.674,2178.11,1514.387,3519.088,0.548,0.06,135.629
v4_flagship,short,6.0,964,600683,0.581,0.674,0.674,1720.595,1484.225,4604.785,0.865,0.308,906.014
v4_flagship,short,10.0,1582,976601,0.674,0.674,0.674,1484.262,1484.225,5911.622,0.992,11192.954,17102.179
v4_flagship,mixed,1.0,154,92671,0.39,0.581,0.79,2555.519,1629.564,2737.387,0.225,0.0,0.598
v4_flagship,mixed,3.0,486,286395,0.487,0.79,0.79,2054.606,1339.897,3328.445,0.572,0.068,322.21
v4_flagship,mixed,6.0,959,572652,0.674,0.79,0.79,1496.448,1266.102,4336.613,0.875,0.358,1057.456
v4_flagship,mixed,10.0,1571,942145,0.79,0.79,0.79,1269.211,1266.102,5316.442,0.997,16633.218,27519.489
v4_flagship,long,1.0,141,73802,0.458,0.668,0.784,2184.727,1587.408,2505.829,0.195,0.0,0.443
v4_flagship,long,3.0,481,289215,0.622,0.945,0.945,1703.438,1058.66,3092.719,0.623,0.158,607.774
v4_flagship,long,6.0,964,600683,0.945,0.945,0.945,1079.815,1058.66,4140.227,0.958,388.311,3450.84
v4_flagship,long,10.0,1582,976601,0.945,0.945,0.945,1058.66,1058.66,4383.069,1.0,38231.3,71668.909
m3_flagship,short,1.0,141,73802,0.433,0.743,0.762,2310.22,1472.434,2518.673,0.194,0.0,0.532
m3_flagship,short,3.0,481,289215,0.6,0.919,0.919,1670.989,1088.062,3100.67,0.621,0.118,569.111
m3_flagship,short,6.0,964,600683,0.919,0.919,0.919,1091.901,1088.062,4133.931,0.959,435.36,3319.131
m3_flagship,short,10.0,1582,976601,0.919,0.919,0.919,1088.062,1088.062,4371.695,1.0,38109.912,72310.812
m3_flagship,mixed,1.0,154,92671,0.433,0.762,1.017,2261.537,1198.605,2463.222,0.25,0.0,0.801
m3_flagship,mixed,3.0,486,286395,0.6,1.017,1.017,1616.658,986.734,2963.475,0.642,0.127,544.358
m3_flagship,mixed,6.0,959,572652,1.017,1.017,1.017,1009.463,982.92,3893.533,0.969,1076.198,3990.065
m3_flagship,mixed,10.0,1571,942145,1.017,1.017,1.017,984.505,982.92,4060.267,0.999,43427.355,81586.48
m3_flagship,long,1.0,141,73802,0.49,0.836,0.934,2040.126,1264.228,2295.353,0.212,0.0,0.668
m3_flagship,long,3.0,481,289215,0.714,1.148,1.148,1388.73,870.732,2809.573,0.686,0.237,1154.079
m3_flagship,long,6.0,964,600683,1.148,1.148,1.148,870.833,870.732,3521.089,0.983,9806.047,22114.825
m3_flagship,long,10.0,1582,976601,1.148,1.148,1.148,870.732,870.732,3566.736,1.0,63333.994,122277.245
