org,batch,ctx,tps_user,tokens_per_J,compute_util
hybrid,1,131072,2562.0,5.33,0.11
hybrid,1,1048576,2184.0,4.64,0.308
hybrid,4,131072,1484.0,10.68,0.254
hybrid,4,1048576,1059.0,8.23,0.597
gemv_lanes,1,131072,2530.0,5.32,0.108
gemv_lanes,1,1048576,2007.0,4.61,0.283
gemv_lanes,4,131072,1441.0,10.62,0.246
gemv_lanes,4,1048576,904.0,8.13,0.51
tensix_tinytile,1,131072,2355.0,5.24,0.101
tensix_tinytile,1,1048576,1381.0,4.43,0.195
tensix_tinytile,4,131072,1233.0,10.33,0.211
tensix_tinytile,4,1048576,498.0,7.59,0.281
tensix_tile32,1,131072,979.0,5.24,0.042
tensix_tile32,1,1048576,669.0,4.43,0.094
tensix_tile32,4,131072,800.0,10.33,0.137
tensix_tile32,4,1048576,318.0,7.59,0.18
