bw_TBps,pflops,capacity_GB,sram_MB,envelope_W,unconstrained_W,power_scale,logic_W,dram_W,die_mm,area_mm2,max_temperature_C,sustainable_frequency_MHz,thermally_valid
24,0.5,256,64,400,289.7,1.0,98.2,191.5,23.0,529.3,83.90000000000003,600,True
24,0.5,256,64,500,289.7,1.0,98.2,191.5,23.0,529.3,83.90000000000003,600,True
24,0.5,256,64,600,289.7,1.0,98.2,191.5,23.0,529.3,83.90000000000003,600,True
24,0.5,256,64,800,289.7,1.0,98.2,191.5,23.0,529.3,83.90000000000003,600,True
24,0.5,256,64,1000,289.7,1.0,98.2,191.5,23.0,529.3,83.90000000000003,600,True
40,1.0,256,64,400,465.2,0.86,135.6,264.4,31.9,1016.4,84.19,900,True
40,1.0,256,64,500,465.2,1.0,157.7,307.6,31.9,1016.4,83.40000000000003,500,True
40,1.0,256,64,600,465.2,1.0,157.7,307.6,31.9,1016.4,83.40000000000003,500,True
40,1.0,256,64,800,465.2,1.0,157.7,307.6,31.9,1016.4,83.40000000000003,500,True
40,1.0,256,64,1000,465.2,1.0,157.7,307.6,31.9,1016.4,83.40000000000003,500,True
50,1.0,256,64,400,556.1,0.719,135.6,264.4,31.9,1016.4,84.19,900,True
50,1.0,256,64,500,556.1,0.899,169.5,330.5,31.9,1016.4,84.34000000000003,400,True
50,1.0,256,64,600,556.1,1.0,188.5,367.6,31.9,1016.4,88.75,400,False
50,1.0,256,64,800,556.1,1.0,188.5,367.6,31.9,1016.4,88.75,400,False
50,1.0,256,64,1000,556.1,1.0,188.5,367.6,31.9,1016.4,88.75,400,False
60,2.0,384,128,400,667.5,0.599,135.6,264.4,45.1,2032.8,69.90000000000003,1000,True
60,2.0,384,128,500,667.5,0.749,169.5,330.5,45.1,2032.8,76.13,1000,True
60,2.0,384,128,600,667.5,0.899,203.4,396.6,45.1,2032.8,82.35000000000002,1000,True
60,2.0,384,128,800,667.5,1.0,226.2,441.3,45.1,2032.8,83.47000000000003,800,True
60,2.0,384,128,1000,667.5,1.0,226.2,441.3,45.1,2032.8,83.47000000000003,800,True
100,2.0,384,128,400,971.0,0.412,135.6,264.4,45.1,2032.8,69.90000000000003,1000,True
100,2.0,384,128,500,971.0,0.515,169.5,330.5,45.1,2032.8,76.13,1000,True
100,2.0,384,128,600,971.0,0.618,203.4,396.6,45.1,2032.8,82.35000000000002,1000,True
100,2.0,384,128,800,971.0,0.824,271.1,528.9,45.1,2032.8,83.69,400,True
100,2.0,384,128,1000,971.0,1.0,329.1,641.9,45.1,2032.8,91.96000000000004,400,False
150,4.0,512,256,400,1311.0,0.305,135.6,264.4,63.8,4065.6,59.78000000000003,1000,True
150,4.0,512,256,500,1311.0,0.381,169.5,330.5,63.8,4065.6,63.48000000000002,1000,True
150,4.0,512,256,600,1311.0,0.458,203.4,396.6,63.8,4065.6,67.17000000000002,1000,True
150,4.0,512,256,800,1311.0,0.61,271.1,528.9,63.8,4065.6,74.57000000000005,1000,True
150,4.0,512,256,1000,1311.0,0.763,338.9,661.1,63.8,4065.6,81.96000000000004,1000,True
