kind,series,series_label,panel,tM,tK,tN,context_tokens,block_size,x_order,x_label,bw_util_pct
gemm,2ch,2 Channels,tM = 4,4,128,128,,,0,"(128,128)",24.6608
gemm,2ch,2 Channels,tM = 4,4,128,512,,,1,"(128,512)",25.1942
gemm,2ch,2 Channels,tM = 4,4,256,128,,,2,"(256,128)",21.2929
gemm,2ch,2 Channels,tM = 4,4,256,512,,,3,"(256,512)",21.6466
gemm,2ch,2 Channels,tM = 4,4,512,128,,,4,"(512,128)",14.4403
gemm,2ch,2 Channels,tM = 4,4,512,512,,,5,"(512,512)",14.546600000000002
gemm,2ch,2 Channels,tM = 4,4,1024,128,,,6,"(1K,128)",27.549699999999998
gemm,2ch,2 Channels,tM = 4,4,1024,512,,,7,"(1K,512)",28.7041
gemm,2ch,2 Channels,tM = 4,4,2048,128,,,8,"(2K,128)",40.400999999999996
gemm,2ch,2 Channels,tM = 4,4,2048,512,,,9,"(2K,512)",42.2592
gemm,2ch,2 Channels,tM = 16,16,128,128,,,0,"(128,128)",25.114399999999996
gemm,2ch,2 Channels,tM = 16,16,128,512,,,1,"(128,512)",25.305699999999998
gemm,2ch,2 Channels,tM = 16,16,256,128,,,2,"(256,128)",21.8586
gemm,2ch,2 Channels,tM = 16,16,256,512,,,3,"(256,512)",21.7424
gemm,2ch,2 Channels,tM = 16,16,512,128,,,4,"(512,128)",14.8317
gemm,2ch,2 Channels,tM = 16,16,512,512,,,5,"(512,512)",14.591899999999999
gemm,2ch,2 Channels,tM = 16,16,1024,128,,,6,"(1K,128)",28.346500000000002
gemm,2ch,2 Channels,tM = 16,16,1024,512,,,7,"(1K,512)",28.8113
gemm,2ch,2 Channels,tM = 16,16,2048,128,,,8,"(2K,128)",40.569300000000005
gemm,2ch,2 Channels,tM = 16,16,2048,512,,,9,"(2K,512)",42.510799999999996
gemm,2ch,2 Channels,tM = 64,64,128,128,,,0,"(128,128)",25.1294
gemm,2ch,2 Channels,tM = 64,64,128,512,,,1,"(128,512)",25.2382
gemm,2ch,2 Channels,tM = 64,64,256,128,,,2,"(256,128)",21.7775
gemm,2ch,2 Channels,tM = 64,64,256,512,,,3,"(256,512)",21.6463
gemm,2ch,2 Channels,tM = 64,64,512,128,,,4,"(512,128)",15.3247
gemm,2ch,2 Channels,tM = 64,64,512,512,,,5,"(512,512)",14.5449
gemm,2ch,2 Channels,tM = 64,64,1024,128,,,6,"(1K,128)",27.2858
gemm,2ch,2 Channels,tM = 64,64,1024,512,,,7,"(1K,512)",28.303
gemm,2ch,2 Channels,tM = 64,64,2048,128,,,8,"(2K,128)",37.515100000000004
gemm,2ch,2 Channels,tM = 64,64,2048,512,,,9,"(2K,512)",40.6071
attention,2ch,2 Channels,16K Tokens,,,,16384,1,0,1,1.9903
attention,2ch,2 Channels,32K Tokens,,,,32768,1,0,1,2.20106
attention,2ch,2 Channels,64K Tokens,,,,65536,1,0,1,2.82035
attention,2ch,2 Channels,16K Tokens,,,,16384,2,1,2,3.56594
attention,2ch,2 Channels,32K Tokens,,,,32768,2,1,2,3.89064
attention,2ch,2 Channels,64K Tokens,,,,65536,2,1,2,4.351700000000001
attention,2ch,2 Channels,16K Tokens,,,,16384,4,2,4,6.702799999999999
attention,2ch,2 Channels,32K Tokens,,,,32768,4,2,4,6.8550499999999985
attention,2ch,2 Channels,64K Tokens,,,,65536,4,2,4,7.191570000000001
attention,2ch,2 Channels,16K Tokens,,,,16384,8,3,8,12.4306
attention,2ch,2 Channels,32K Tokens,,,,32768,8,3,8,11.423999999999998
attention,2ch,2 Channels,64K Tokens,,,,65536,8,3,8,12.792399999999999
attention,2ch,2 Channels,16K Tokens,,,,16384,16,4,16,19.119400000000002
attention,2ch,2 Channels,32K Tokens,,,,32768,16,4,16,19.8269
attention,2ch,2 Channels,64K Tokens,,,,65536,16,4,16,19.8806
attention,2ch,2 Channels,16K Tokens,,,,16384,32,5,32,27.247799999999998
attention,2ch,2 Channels,32K Tokens,,,,32768,32,5,32,25.8029
attention,2ch,2 Channels,64K Tokens,,,,65536,32,5,32,25.6847
attention,2ch,2 Channels,16K Tokens,,,,16384,64,6,64,27.983400000000007
attention,2ch,2 Channels,32K Tokens,,,,32768,64,6,64,27.170199999999994
attention,2ch,2 Channels,64K Tokens,,,,65536,64,6,64,25.9715
