ATLAS synthesis and static timing summary
technology : asap7        target period : 1.0 ns
tools      : yosys 0.33, OpenSTA 3.1.0

block                     cells     area_um2   setup_ns    hold_ns     power_mW params
----------------------------------------------------------------------------------------------
atlas_dot_unit            23975  2326.297320    -0.2636    -0.0068   1.5117e-02 
atlas_fp32_add             1617   135.287820    -0.7359    -0.0030   5.7435e-04 
atlas_fp32_mul             3142   320.205960    -0.7456    -0.0030   3.5967e-03 
atlas_exp_f32              6295   558.880560    -0.8471    -0.0068   4.0054e-02 
atlas_recip_f32            3390   281.641860    -0.3255    -0.0030   2.4196e-03 
atlas_rsqrt_f32            4638   361.044540    -0.3171    -0.0030   2.0359e-03 
atlas_silu_f32            14308  1323.980640    -0.8532    -0.0068   5.4626e-02 
atlas_vec_lane             5418   512.341200    -0.8321    -0.0068   4.4414e-03 
atlas_sfu                 27333  2405.000160    -0.8605    -0.0068   8.8646e-02 
atlas_pe                  27213  2581.695180    -0.9360    -0.0068   1.5120e-02 
atlas_rmsnorm             18606  1760.564160    -0.8128    -0.0068   3.0656e-02 
atlas_moe_router          24056  2322.725220    -0.8241    -0.0068   3.0156e-03 
